artist,song,name,sentence,upos,xpos,dep_rel,posCorrection,NaP,last,compound
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
